IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,Quota,Provincia,Comune,lat,lng
6380,Ossidi di Azoto,µg/m³,572,262.0,SO,Morbegno,46.132282960003735,9.566179893984474
10507,Biossido di Azoto,µg/m³,1269,207.0,BG,Dalmine,45.64970251236247,9.601223338785262
20216,Biossido di Zolfo,µg/m³,690,73.0,PV,Mezzana Bigli,45.06965864138592,8.86888929943922
6228,Ossidi di Azoto,µg/m³,588,191.0,BG,Tavernola Bergamasca,45.71629992411727,10.044765999368437
6966,Biossido di Zolfo,µg/m³,669,70.0,BS,Brescia,45.51303881865376,10.19194188877931
10506,Benzene,µg/m³,1269,207.0,BG,Dalmine,45.64970251236247,9.601223338785262
9890,PM10 (SM2005),µg/m³,674,162.0,MB,Monza,45.58026348442243,9.273573092713274
6691,Ozono,µg/m³,642,77.0,PV,Pavia,45.19467609907785,9.164638300630086
12593,Benzo(a)pirene,ng/m³,669,70.0,BS,Brescia,45.51303881865376,10.19194188877931
6955,PM10 (SM2005),µg/m³,663,18.0,MN,Mantova,45.14526012578896,10.80332595007927
10452,Biossido di Azoto,µg/m³,1265,76.0,LO,Lodi,45.302783503095775,9.495273696926324
10273,PM10 (SM2005),µg/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
6841,Biossido di Azoto,µg/m³,659,349.0,BS,Odolo,45.64604963372525,10.38929530279196
6864,Ossidi di Azoto,µg/m³,661,147.0,BS,Rezzato,45.51570829484459,10.336240422996532
9802,Biossido di Azoto,µg/m³,670,22.0,MN,Mantova,45.16056833010576,10.79556411370788
10399,Particelle sospese PM2.5,µg/m³,583,249.0,BG,Bergamo,45.69103740547214,9.643650579461385
20491,Biossido di Azoto,µg/m³,1800,124.0,BS,Brescia,45.5086667998462,10.256370247433845
12624,Nikel,ng/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
6931,PM10 (SM2005),µg/m³,583,249.0,BG,Bergamo,45.69103740547214,9.643650579461385
12692,Cadmio,ng/m³,560,383.0,VA,Varese,45.81697323326368,8.820240707158211
20031,Ammoniaca,µg/m³,693,85.0,PV,Sannazzaro de' Burgondi,45.10276627684137,8.90417452771467
5828,Monossido di Carbonio,mg/m³,542,222.0,MB,Meda,45.66176219189168,9.156643984551597
20358,Particelle sospese PM2.5,µg/m³,504,139.0,MI,Sesto San Giovanni,45.53476576509224,9.236107923411636
6872,Biossido di Zolfo,µg/m³,663,18.0,MN,Mantova,45.14526012578896,10.80332595007927
5598,Biossido di Azoto,µg/m³,595,190.0,BG,Filago,45.63386450908066,9.556084255790864
10320,PM10 (SM2005),µg/m³,548,118.0,MI,Milano,45.470499014097,9.197460360112531
20156,Ammoniaca,µg/m³,642,77.0,PV,Pavia,45.19467609907785,9.164638300630086
12627,Piombo,ng/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
10169,Monossido di Carbonio,mg/m³,703,0.0,MN,Schivenoglia,45.01687782075543,11.07609463264049
12017,Biossido di Azoto,µg/m³,1297,48.0,CR,Spinadesco,45.150468869856816,9.930596472272326
5827,Monossido di Carbonio,mg/m³,501,129.0,MI,Milano,45.49631644365102,9.190933555313624
5587,Biossido di Azoto,µg/m³,584,249.0,BG,Bergamo,45.69568034432694,9.66124914606551
6803,Ossidi di Azoto,µg/m³,654,269.0,BS,Sarezzo,45.64962671224069,10.205090218837002
12622,Piombo,ng/m³,542,222.0,MB,Meda,45.66176219189168,9.156643984551597
10168,Biossido di Zolfo,µg/m³,703,0.0,MN,Schivenoglia,45.01687782075543,11.07609463264049
10583,Ossidi di Azoto,µg/m³,1274,212.0,LC,Perledo,46.01582830438376,9.286409208680809
5670,Biossido di Zolfo,µg/m³,584,249.0,BG,Bergamo,45.69568034432694,9.66124914606551
5700,Biossido di Zolfo,µg/m³,571,1225.0,SO,Bormio,46.46952397132585,10.375432759159036
12609,Cadmio,ng/m³,546,137.0,MI,Magenta,45.462415791106615,8.880210433125571
6804,Ozono,µg/m³,654,269.0,BS,Sarezzo,45.64962671224069,10.205090218837002
12601,Nikel,ng/m³,655,221.0,BS,Darfo Boario Terme,45.87460210989037,10.17735680898138
17293,PM10 (SM2005),µg/m³,1264,290.0,SO,Sondrio,46.16785244066512,9.879209924469905
5842,Monossido di Carbonio,mg/m³,571,1225.0,SO,Bormio,46.46952397132585,10.375432759159036
6324,Ossidi di Azoto,µg/m³,531,114.0,MI,Pioltello,45.48363035323249,9.327360033215143
10176,Particelle sospese PM2.5,µg/m³,703,0.0,MN,Schivenoglia,45.01687782075543,11.07609463264049
12588,Nikel,ng/m³,669,70.0,BS,Brescia,45.51303881865376,10.19194188877931
10109,Biossido di Zolfo,µg/m³,698,13.0,RO,Ceneselli,45.01325676849334,11.372344948058236
6910,PM10 (SM2005),µg/m³,542,222.0,MB,Meda,45.66176219189168,9.156643984551597
5605,Biossido di Azoto,µg/m³,602,83.0,MI,Melegnano,45.35428575070997,9.329243424113708
5732,Ozono,µg/m³,573,229.0,LC,Colico,46.1381409051264,9.384687247651794
5542,Biossido di Azoto,µg/m³,539,115.0,MI,Milano,45.443857653564926,9.167944501742676
10581,Biossido di Azoto,µg/m³,1274,212.0,LC,Perledo,46.01582830438376,9.286409208680809
5574,Biossido di Azoto,µg/m³,571,1225.0,SO,Bormio,46.46952397132585,10.375432759159036
20020,Ammoniaca,µg/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
6706,Ossidi di Azoto,µg/m³,643,77.0,PV,Pavia,45.18632908049483,9.146666041286784
6927,PM10 (SM2005),µg/m³,574,214.0,LC,Lecco,45.850191194578535,9.395577066893225
20082,Ammoniaca,µg/m³,573,229.0,LC,Colico,46.1381409051264,9.384687247651794
9835,PM10 (SM2005),µg/m³,664,18.0,MN,Mantova,45.151743379576594,10.78140770009565
9860,Ossidi di Azoto,µg/m³,673,90.0,PV,Voghera,44.99954598914026,9.008437381815693
20493,Ossidi di Azoto,µg/m³,1801,151.0,BS,Brescia,45.542647891822845,10.21120521511826
6218,Ossidi di Azoto,µg/m³,583,249.0,BG,Bergamo,45.69103740547214,9.643650579461385
9930,Ossidi di Azoto,µg/m³,677,43.0,CR,Cremona,45.14254063221695,10.043836158369391
10270,Ozono,µg/m³,655,221.0,BS,Darfo Boario Terme,45.87460210989037,10.17735680898138
10484,PM10 (SM2005),µg/m³,1266,65.0,LO,Bertonico,45.23349364130374,9.666250375296032
12625,Arsenico,ng/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
10027,PM10 (SM2005),µg/m³,685,273.0,BG,Calusco d'Adda,45.69042907854514,9.484260927647789
10405,PM10 (SM2005),µg/m³,584,249.0,BG,Bergamo,45.69568034432694,9.66124914606551
6956,PM10 (SM2005),µg/m³,528,116.0,MI,Milano,45.46334674066655,9.195324807668856
9961,PM10 (SM2005),µg/m³,669,70.0,BS,Brescia,45.51303881865376,10.19194188877931
5794,Monossido di Carbonio,mg/m³,584,249.0,BG,Bergamo,45.69568034432694,9.66124914606551
17295,Ozono,µg/m³,558,206.0,VA,Busto Arsizio,45.582894292717725,8.842165456706075
9997,Ozono,µg/m³,682,88.0,PV,Ferrera Erbognone,45.11350314482957,8.874064848882607
10343,PM10 (SM2005),µg/m³,708,112.0,PV,Parona,45.28193561035791,8.754334594539825
17159,Particelle sospese PM2.5,µg/m³,633,70.0,CR,Soresina,45.28397715446764,9.863398419993636
20441,Ossidi di Azoto,µg/m³,681,1194.0,LC,Moggio,45.91278752030292,9.497538167653424
12613,Nikel,ng/m³,670,22.0,MN,Mantova,45.16056833010576,10.79556411370788
12695,Piombo,ng/m³,1264,290.0,SO,Sondrio,46.16785244066512,9.879209924469905
